economy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,,,,,,,,,,,,,,,,,,,,,,,,
AFE,65.4878468564247,65.5250734845258,65.6256205971947,65.7344314959019,65.794449017614,65.8609309804779,65.7277734426918,65.5044539660056,65.2676704767413,64.8655568113028,64.4753427246979,64.7402788186404,63.7624434638682,64.5947566482245,63.6825944089328,63.1971810737597,62.5959844832547,61.8408823637693,61.2618358874407,60.6698092923716,59.4336814464777,59.4544572511058,59.8313046841424,63.5925984344771
AFG,14.294,14.196,14.152,14.154,14.205,14.302,14.452,14.67,14.944,15.248,15.572,15.893,16.208,17.138,18.107,19.113,20.156,21.24,19.805,18.298,16.474,14.616,5.159,5.145
AFW,69.1911987479178,69.1645799065043,69.1962667907328,69.0785886033759,69.030103827787,68.8977669077647,68.8641297310335,68.8348841697833,68.6210766740076,68.3866980561586,68.1727946640837,67.9040064605785,67.7381317504899,67.3759160344356,66.9584913590626,66.7249556679013,66.5614485140754,66.1944450713112,65.8917145304178,65.661572505949,64.3710758149085,65.0587604739967,65.6799234185922,67.3351238627599
AGO,75.495,75.522,75.548,75.574,75.597,75.615,75.626,75.633,75.633,75.627,75.621,74.865,74.633,74.4,74.167,73.933,73.697,73.461,73.224,72.985,71.342,74.695,74.018,72.318
ALB,50.831,49.68,49.088,48.461,47.845,47.242,46.652,46.076,45.514,45.955,46.835,52.561,48.936,43.783,43.958,47.117,49.888,49.736,51.406,52.931,52.252,52.523,56.407,57.963
AND,,,,,,,,,,,,,,,,,,,,,,,,
ARB,20.0674891558361,19.9607885889207,19.2577607919934,19.4422263101309,19.602895137609,19.7811140867527,20.0274596078511,20.6082935540777,20.226772428925,20.5346376918663,20.7092368667965,20.7455287049814,20.5134875836869,20.6324832420814,20.7314458784954,20.681454301284,20.7174106547458,19.8966688504065,18.8985863264177,18.3085417594598,17.617049774581,17.8515695449822,17.8193689715312,19.0969986727696
ARE,33.936,34.533,35.173,35.834,36.496,37.187,38.323,39.524,40.709,41.791,42.861,43.94,44.993,46.063,47.13,48.183,49.228,50.926,51.312,54.381,58.18,50.452,53.057,52.347
ARG,50.537,49.755,47.938,48.936,49.963,49.098,49.738,48.901,48.064,48.789,47.689,47.947,48.055,47.642,47.417,47.498,47.582,47.666,49.146,50.0,46.486,50.26,51.868,52.958
ARM,54.459,54.317,54.029,53.753,53.518,53.338,53.243,53.273,52.96,54.373,54.4,54.222,53.928,53.878,53.835,53.826,53.881,53.766,53.631,50.799,54.317,55.118,50.24,51.517
ASM,,,,,,,,,,,,,,,,,,,,,,,,
ATG,,,,,,,,,,,,,,,,,,,,,,,,
AUS,54.618,55.158,55.355,56.013,55.774,57.048,57.582,58.135,58.603,58.792,58.676,58.931,58.833,58.739,58.704,59.151,59.381,59.877,60.628,61.031,60.136,61.516,62.524,62.576
AUT,48.991,48.861,50.127,50.232,50.059,50.866,51.541,52.379,52.872,53.539,53.648,53.942,54.446,54.711,54.763,54.827,55.349,55.351,55.426,55.514,55.224,55.35,55.688,55.812
AZE,72.205,70.283,68.823,66.626,64.222,62.978,61.162,56.405,56.428,58.092,59.793,59.434,59.237,59.364,60.244,61.096,62.043,62.213,62.63,62.441,64.382,61.174,62.165,61.748
