economy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,65.3545497799987,65.3351137913914,65.2820691308217,65.1982922587168,65.0886533661558,64.9580226442175,64.811270283981,64.6532664765254,64.4888814129295,64.3229852842726,64.1612965549477,63.9992605838571,63.8252085199599,63.6382914355326,63.4392531303795,63.2288374043053,63.0077880571142,62.7768488886109,62.5367636985996,62.288276286885,62.0028837566365,61.9275339886843,61.8811657924257,61.8351492675589
AFE,28.4686879776452,28.8315061435738,29.2210306166309,29.6390356014361,30.0878370669042,30.5372758629303,30.9876495544836,31.3629773942904,31.848999584948,32.2400677597918,32.5903609820215,32.9380985869792,33.2867060801392,33.6673142772775,34.0775774023013,34.4906809355644,34.8812106693274,35.2829868326458,35.714718464725,36.0973307017698,36.4883219609866,36.9085426088518,37.3605781096471,37.7723012408349
AFG,18.5581995230666,18.7412381251552,18.9412480133309,19.1600346409089,19.3993593959593,19.7059095753667,20.1104530189181,20.5906579215423,21.1241481349633,21.6885475109053,22.2614799010924,22.8205691572485,23.3434391310979,23.8077136743646,24.1910166387726,24.4649118421568,24.6588345720126,24.8352821238871,24.9991645191406,25.1437258839803,25.2622103446137,25.3478620272481,25.3939250580909,25.4730529631167
AFW,38.8524684384581,39.4529459668409,40.049367409183,40.6448482782766,41.2398201335762,41.836459455774,42.4399258811784,43.0123127292741,43.5798873927202,44.1512095621441,44.7260198444584,45.2987995750013,45.8732546944015,46.4463309133392,47.0221646001768,47.6023892615338,48.1739704033824,48.7474138775856,49.3179475986921,49.8900751494997,50.4763178807468,51.0723969922682,51.6816941134779,52.2829081872902
AGO,50.5070653484197,51.7224790407329,52.8926234794038,54.0043545370761,55.0445280863936,56.0,56.8939032662772,57.7564632930133,58.5851745819614,59.3775316348744,60.1310289535053,60.8431610396073,61.5114223949332,62.1333075212361,62.723115793241,63.51567832685,64.2992302517989,65.0850525086068,65.8732136723372,66.6637823180533,67.4568270208187,68.2524163556969,69.0506188977513,69.8515032220457
ALB,41.6135829609314,42.354513990929,43.1520419609419,44.0295089223208,44.9784925669394,45.9937666920583,47.0701050949378,48.2022815728384,49.3850699230207,50.6132439427449,51.8815774292716,53.2917382892465,53.8637553661449,54.2979678058548,54.7325813178673,55.1579291374894,55.5738734464276,55.980276426546,56.377000259892,56.7639071287255,57.1408592155544,57.5077187031778,57.8643477747383,58.2106086137857
AND,92.2559356689453,91.8949711110146,91.4605308311615,90.9887515425879,90.5157699584961,89.9563631945418,89.3789218918348,89.0500030517578,88.9407363930477,88.84433315185,88.7604726056609,88.6888340319763,88.6290967082924,88.5809399121053,88.544042920911,88.5180850122057,88.5027454634853,88.4977035522461,88.5080998493791,88.5391793666245,88.5907780427517,88.6627318165299,88.7548766267286,88.8201609217082
ARB,52.4414305753963,52.738168430817,53.0428526060555,53.3521913954159,53.6638769892058,53.9820002905638,54.3116023572253,54.6554574046587,55.0121306504489,55.3595981551546,55.5920977319462,56.052080900428,56.7609778940107,57.5747135596837,58.0278238886845,58.351712270484,58.5622937950483,58.6808941601595,58.7847025324078,58.8962879377102,59.0899689866908,59.112484714184,59.3339325148117,59.569940800309
ARE,79.287092479995,79.7469002624215,80.2705602850306,80.8489432668434,81.4729199268812,82.2122832763517,82.5588968646829,82.758608500318,82.9658963549658,83.1701992996163,83.3714299144178,83.5695007795347,83.7643244751488,83.9558135814626,84.1438806787019,84.3284383471193,84.5093991669984,84.686675718659,84.8601805824625,85.0298263388195,85.1955255681984,85.3571908511355,85.5147347682487,85.6680699002526
ARG,89.1760271133454,89.3682951289372,89.5616701920513,89.752468256564,89.9397208794212,90.1233737736072,90.3033726521064,90.4796632279031,90.6521912139817,90.8209023233265,90.9930051940977,91.1072286738406,91.2041217246797,91.3014507719473,91.3975345472954,91.4923019108628,91.5856817228217,91.6776028433824,91.7679941327998,91.8567844513802,91.9439026594897,92.0292776175651,92.112838186126,92.1945132257907
ARM,64.959237917436,64.8228123790872,64.7396211980252,64.6663537455064,64.5972633621116,64.5334210637509,64.4758978663344,64.4257647857723,64.3840928379746,64.3519530388516,64.3304164043132,64.3207449145194,64.3268379506998,64.3584061131466,64.4142934233291,64.4929623431549,64.5928753345316,64.7124948593667,64.8502833795679,65.0047033570428,65.174217253699,65.3572875314441,65.5624462874485,65.6956882008852
